threshold,FAR,FRR,GAR
0.2904150737302021,0.0,0.5586206896551724,0.4413793103448276
0.2905190311418685,0.0,0.5551724137931034,0.44482758620689655
0.2921107164002368,0.0,0.5517241379310345,0.4482758620689655
0.2921862971516551,0.0,0.5482758620689655,0.4517241379310345
0.2925025626006736,0.0,0.5448275862068965,0.45517241379310347
0.2929393536963258,0.0,0.5413793103448276,0.4586206896551724
0.2935769574278059,0.0,0.5379310344827586,0.46206896551724136
0.2936860068259385,0.0,0.5344827586206896,0.46551724137931033
0.301635480645622,0.0,0.4793103448275862,0.5206896551724138
0.2952787507297139,0.0,0.5310344827586206,0.4689655172413793
0.2958370904718966,0.0,0.5241379310344828,0.47586206896551725
0.2962083183936895,0.0,0.5206896551724138,0.4793103448275862
0.2965608043408873,0.0,0.5172413793103449,0.4827586206896552
0.2967319340752218,0.0,0.5137931034482759,0.4862068965517241
0.2970507544581618,0.0,0.5103448275862069,0.4896551724137931
0.2973626373626373,0.0,0.506896551724138,0.49310344827586206
0.2974710982658959,0.0,0.503448275862069,0.496551724137931
0.2978753743048624,0.0,0.5,0.5
0.2983205443752714,0.0,0.496551724137931,0.503448275862069
0.2989592494869539,0.0,0.49310344827586206,0.506896551724138
0.3000226517668378,0.0,0.4896551724137931,0.5103448275862069
0.3015090959206174,0.0,0.4862068965517241,0.5137931034482759
0.2955352072685974,0.0,0.5275862068965518,0.4724137931034483
0.3216221851542952,0.0,0.3758620689655172,0.6241379310344828
0.3220143134039063,0.0,0.3724137931034483,0.6275862068965518
0.3221004295659902,0.0,0.3689655172413793,0.6310344827586207
0.3431722230310088,0.0,0.25862068965517243,0.7413793103448276
0.3431849198225861,0.0,0.25517241379310346,0.7448275862068966
0.3455599938546628,0.0,0.2517241379310345,0.7482758620689656
0.3459475074281941,0.0,0.2482758620689655,0.7517241379310344
0.346619460941069,0.0,0.24482758620689654,0.7551724137931034
0.3490532959326788,0.0,0.2413793103448276,0.7586206896551724
0.3493449781659388,0.0,0.23793103448275862,0.7620689655172413
0.3495759813978936,0.0,0.23448275862068965,0.7655172413793103
0.3497163755784445,0.0,0.23103448275862068,0.7689655172413793
0.3522359290670778,0.0,0.22758620689655173,0.7724137931034483
0.3523170541426119,0.0,0.22413793103448276,0.7758620689655172
0.3527385752688172,0.0,0.2206896551724138,0.7793103448275862
0.3420649015175976,0.0,0.2620689655172414,0.7379310344827587
0.3533608116677235,0.0,0.21724137931034482,0.7827586206896552
0.354688618468146,0.0,0.2103448275862069,0.7896551724137931
0.3548891204048221,0.0,0.20689655172413793,0.7931034482758621
0.3556731772774713,0.0,0.20344827586206896,0.7965517241379311
0.3559086701635298,0.0,0.2,0.8
0.3564043653072946,0.0,0.19655172413793104,0.803448275862069
0.3587509349289454,0.0,0.1896551724137931,0.8103448275862069
0.3597256857855361,0.0,0.18620689655172415,0.8137931034482758
0.3599728014505893,0.0,0.18275862068965518,0.8172413793103448
0.3603564754923099,0.0,0.1793103448275862,0.8206896551724138
0.3617870427774333,0.0,0.17586206896551723,0.8241379310344827
0.3622303440898556,0.0,0.1724137931034483,0.8275862068965517
0.3628519527702089,0.0,0.16896551724137931,0.8310344827586207
0.3543350768743065,0.0,0.21379310344827587,0.7862068965517242
0.3415772453329413,0.0,0.2655172413793103,0.7344827586206897
0.3407076431269979,0.0,0.2689655172413793,0.7310344827586207
0.3404380420402763,0.0,0.27241379310344827,0.7275862068965517
0.3236799765979231,0.0,0.36551724137931035,0.6344827586206897
0.32455165846691,0.0,0.3620689655172414,0.6379310344827587
0.3253496503496503,0.0,0.3586206896551724,0.6413793103448275
0.325438716753496,0.0,0.35517241379310344,0.6448275862068965
0.3261578863600191,0.0,0.35172413793103446,0.6482758620689655
0.328297743449947,0.0,0.3482758620689655,0.6517241379310345
0.328496427008896,0.0,0.3448275862068966,0.6551724137931034
0.3287922243467177,0.0,0.3413793103448276,0.6586206896551724
0.3290238450074516,0.0,0.33793103448275863,0.6620689655172414
0.3292568542568542,0.0,0.33448275862068966,0.6655172413793103
0.3294801737424688,0.0,0.3310344827586207,0.6689655172413793
0.3314416273584906,0.0,0.3275862068965517,0.6724137931034483
0.3323233933981821,0.0,0.32413793103448274,0.6758620689655173
0.3323463268365817,0.0,0.32068965517241377,0.6793103448275862
0.3325428523880845,0.0,0.31724137931034485,0.6827586206896552
0.3343377921505218,0.0,0.3137931034482759,0.6862068965517242
0.3349739839684995,0.0,0.3103448275862069,0.6896551724137931
0.3350887752031297,0.0,0.30689655172413793,0.6931034482758621
0.3358489229024943,0.0,0.30344827586206896,0.696551724137931
0.3360820244328097,0.0,0.3,0.7
0.3365869471257743,0.0,0.296551724137931,0.7034482758620689
0.3367771781033153,0.0,0.29310344827586204,0.7068965517241379
0.3377784290738569,0.0,0.2896551724137931,0.7103448275862069
0.3381567230632235,0.0,0.28620689655172415,0.7137931034482758
0.3382007516442217,0.0,0.2827586206896552,0.7172413793103448
0.3386839304717985,0.0,0.2793103448275862,0.7206896551724138
0.3399764547595021,0.0,0.27586206896551724,0.7241379310344828
0.2879390085272438,0.0,0.5758620689655173,0.4241379310344828
0.2873951372102943,0.0,0.5793103448275863,0.4206896551724138
0.3587407749077491,0.0,0.19310344827586207,0.8068965517241379
0.2871408045977011,0.0,0.5862068965517241,0.41379310344827586
0.2154713998275366,0.0,0.8896551724137931,0.1103448275862069
0.2184228301249577,0.0,0.8862068965517241,0.11379310344827587
0.2214440433212996,0.0,0.8793103448275862,0.1206896551724138
0.2214700193423597,0.0,0.8758620689655172,0.12413793103448276
0.2219833662249788,0.0,0.8724137931034482,0.12758620689655173
0.2240453866014404,0.0,0.8689655172413793,0.1310344827586207
0.2241244860343116,0.0,0.8655172413793103,0.13448275862068965
0.2243535095197499,0.0,0.8620689655172413,0.13793103448275862
0.2248008453909933,0.0,0.8586206896551725,0.1413793103448276
0.2248028045574057,0.0,0.8551724137931035,0.14482758620689656
0.2254686168702073,0.0,0.8517241379310345,0.1482758620689655
0.2264615633074935,0.0,0.8482758620689655,0.15172413793103448
0.2143442622950819,0.0,0.8931034482758621,0.10689655172413794
0.2277653475038456,0.0,0.8448275862068966,0.15517241379310345
0.2340220385674931,0.0,0.8379310344827586,0.16206896551724137
0.2343963865316178,0.0,0.8344827586206897,0.16551724137931034
0.2366183440200724,0.0,0.8310344827586207,0.16896551724137931
0.2368663921624307,0.0,0.8275862068965517,0.1724137931034483
0.2378109452736318,0.0,0.8241379310344827,0.17586206896551723
0.238268156424581,0.0,0.8206896551724138,0.1793103448275862
0.2383433688436004,0.0,0.8172413793103448,0.18275862068965518
0.2406677727084197,0.0,0.8137931034482758,0.18620689655172415
0.240686931902846,0.0,0.8103448275862069,0.1896551724137931
0.2417880605541273,0.0,0.8068965517241379,0.19310344827586207
0.2426698727893267,0.0,0.803448275862069,0.19655172413793104
0.2431511660578814,0.0,0.8,0.2
